NPI Number,Hospital Name,IDN
1063893121,Banner Payson Medical Center (AKA Payson Regional Medical Center),Banner Health
1275588345,Mt Graham Regional Medical Center,
1629028295,La Paz Regional Hospital,
1720011810,Banner Desert Medical Center,Banner Health
1952560914,Banner Boswell Medical Center,Banner Health
1982733655,St Josephs Hospital and Medical Center,Dignity Health
1477537363,Abrazo Central Campus (FKA Phoenix Baptist Hospital),Abrazo Health
1700910189,Chandler Regional Medical Center,Dignity Health
1427009026,St Lukes Medical Center (Closed),Steward Health Care System
1811951429,HonorHealth Scottsdale Osborn Medical Center,HonorHealth (FKA Scottsdale Lincoln Health Network)
1073576740,Valleywise Health Medical Center (FKA Maricopa Medical Center),Valleywise Health (FKA Maricopa Integrated Health System)
1770690695,HonorHealth John C Lincoln Medical Center (FKA John C Lincoln North Mountain Hospital),HonorHealth (FKA Scottsdale Lincoln Health Network)
1992789200,Valleywise Behavioral Health Center - Maryvale (FKA MIHS Maryvale Hospital),Valleywise Health (FKA Maricopa Integrated Health System)
1841224870,Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center),Banner Health
1437109832,Phoenix Indian Medical Center,Phoenix Area Indian Health Service
1326022732,Abrazo Scottsdale Campus (FKA Paradise Valley Hospital),Abrazo Health
1386608859,HonorHealth Scottsdale Shea Medical Center,HonorHealth (FKA Scottsdale Lincoln Health Network)
1194758284,Banner Baywood Medical Center,Banner Health
1154355188,Banner Thunderbird Medical Center,Banner Health
1528169125,HonorHealth Deer Valley Medical Center,HonorHealth (FKA Scottsdale Lincoln Health Network)
1588823553,Banner Del E Webb Medical Center,Banner Health
1326022765,Abrazo Arrowhead Campus (FKA Arrowhead Hospital),Abrazo Health
1598749269,Abrazo Arizona Heart Hospital,Abrazo Health
1154392231,Mayo Clinic Hospital - Arizona,Mayo Clinic
1215961248,Banner Heart Hospital,Banner Health
1396745832,Arizona Spine & Joint Hospital,Surgery Partners (FKA Symbion Healthcare)
1902881295,CORE Institute Specialty Hospital (FKA the Surgical Hospital of Phoenix),
1093791170,Abrazo West Campus (FKA West Valley Hospital),Abrazo Health
1841282852,Wickenburg Community Hospital,
1124163530,Dignity Health Arizona Specialty Hospital (FKA Arizona Orthopedic Surgical Hospital),Dignity Health
1275566200,Banner Estrella Medical Center,Banner Health
1992735088,Mercy Gilbert Medical Center,Dignity Health
1770596934,Gilbert Hospital (Closed 2018-06-15),New Vision Health (Closed)
1235212721,Mountain Vista Medical Center,Steward Health Care System
1699884858,Banner Gateway Medical Center,Banner Health
1417152745,HonorHealth Scottsdale Thompson Peak Medical Center,HonorHealth (FKA Scottsdale Lincoln Health Network)
1669639639,Arizona Regional Medical Center - Mesa (Closed 2013-04-01),
1760480503,Phoenix Childrens Hospital,Phoenix Childrens Health System
1962637710,Hualapai Mountain Medical Center (Closed 2011-09-30),
1811086994,Valley View Medical Center,LifePoint Health (FKA LifePoint Hospitals)
1255302766,Western Arizona Regional Medical Center,Community Health Systems (AKA CHS)
1780761866,Havasu Regional Medical Center,LifePoint Health (FKA LifePoint Hospitals)
1265423917,Kingman Regional Medical Center,Kingman Regional Medical Center (AKA KRMC)
1144209271,Summit Healthcare Regional Medical Center,
1356628028,Hopi Health Care Center,Phoenix Area Indian Health Service
1427335140,Whiteriver Indian Hospital,Phoenix Area Indian Health Service
1477653889,Little Colorado Medical Center,
1386697688,Oro Valley Hospital,Northwest Healthcare
1326220666,Sells Indian Hospital,Indian Health Service
1487607784,Northwest Medical Center,Northwest Healthcare
1558759498,Banner - University Medical Center South (FKA University of Arizona Medical Center - South Campus),Banner Health
1770563017,Carondelet Heart & Vascular Institute (FKA Tucson Heart Hospital),Carondelet Health Network (AZ)
1265820179,Banner - University Medical Center Tucson (FKA University of Arizona Medical Center),Banner Health
1174512792,Tucson Medical Center (AKA TMC HealthCare),
1265818488,St Marys Hospital,Carondelet Health Network (AZ)
1538535158,St Joseph Hospital,Carondelet Health Network (AZ)
1003232976,Banner Casa Grande Medical Center,Banner Health
1639555865,Holy Cross Hospital,Carondelet Health Network (AZ)
1871534487,Yavapai Regional Medical Center - East,Dignity Health
1275583684,Bob Stump VA Medical Center,VA Desert Pacific Healthcare Network (VISN 22)
1902897820,Yavapai Regional Medical Center - West,Dignity Health
1346291648,Verde Valley Medical Center,Northern Arizona Healthcare
1194706655,Yuma Regional Medical Center,
1790773158,Baptist Health Medical Center - Stuttgart,Baptist Health (AR)
1972586238,DeWitt Hospital & Nursing Home,
1952308215,Ashley County Medical Center,
1881788933,Baxter Health (FKA Baxter Regional Medical Center),
1902051816,Siloam Springs Regional Hospital,Northwest Health System
1316902414,Mercy Hospital Northwest Arkansas (FKA Mercy Medical Center),Mercy (MO)
1568643005,Ozarks Community Hospital of Gravette (AKA Ozarks Community Health System),
1275523912,North Arkansas Regional Medical Center,
1194741611,Bradley County Medical Center,
1457306326,Mercy Hospital Berryville (FKA St Johns Hospital Berryville),Mercy (MO)
1235453192,Chicot Memorial Medical Center,
1174553796,Baptist Health Medical Center-Arkadelphia,Baptist Health (AR)
1891781837,Piggott Health System (FKA Piggott Community Hospital),
1609804822,Baptist Health Medical Center - Heber Springs,Baptist Health (AR)
1346248317,Magnolia Regional Medical Center,
1306896733,Providence VA Medical Center,VA New England Healthcare System (VISN 1)
1891778049,CHI St Vincent Morrilton,CHI St Vincent (FKA St Vincent Health System)
1386699353,NEA Baptist Memorial Hospital,Baptist Memorial Health Care Corporation
1922043686,St Bernards Medical Center,St Bernards Healthcare
1174587125,Baptist Health - Van Buren (FKA Sparks Medical Center - Van Buren),Baptist Health (AR)
1235169822,Crittenden Regional Hospital (Closed 2014-09-01),Baptist Memorial Health Care Corporation
1962410183,CrossRidge Community Hospital,St Bernards Healthcare
1306826029,Dallas County Medical Center,
1770802217,McGehee Hospital (AKA McGehee-Desha County Hospital),
1295767689,Delta Memorial Hospital,
1023363348,Drew Memorial Health System (FKA Drew Memorial Hospital),
1497770424,Conway Regional Medical Center,Conway Regional Health System
1275504128,Mercy Hospital Ozark,Mercy (MO)
1124021811,Levi Hospital (AKA Leo N Levi National Arthritis Hospital),
1609845346,Healthpark Hospital (Closed - Now Called Mercy Outpatient Surgery Center - Higdon Ferry),
1841241833,National Park Medical Center,LifePoint Health (FKA LifePoint Hospitals)
1689628232,CHI St Vincent Hot Springs (FKA Mercy Hospital Hot Springs),CHI St Vincent (FKA St Vincent Health System)
1437222312,Arkansas Methodist Medical Center,
1922353754,Wadley Regional Medical Center at Hope (FKA Medical Park Hospital),Steward Health Care System
1902868391,Baptist Health Medical Center - Hot Spring County (FKA Hot Spring County Medical Center),Baptist Health (AR)
1659320620,Ralph H Johnson VA Medical Center,VA Southeast Network (VISN 7)
1851484695,Howard Memorial Hospital,
1710943881,White River Medical Center,White River Health System
1619365079,Unity Health - Newport (FKA Unity Health - Harris Medical Center),Unity Health
1710931985,Jefferson Regional Medical Center,
1134116049,Johnson Regional Medical Center,
1194724658,Lawrence Memorial Hospital,
1760453633,Mercy Hospital Paris (FKA North Logan Mercy Hospital),Mercy (MO)
1992133714,Mercy Hospital Booneville (FKA Booneville Community Hospital),Mercy (MO)
1366685992,South Mississippi County Regional Medical Center,Mississippi County Hospital System
1316180748,Great River Medical Center,Mississippi County Hospital System
1245284769,Ouachita County Medical Center,
1154392090,Helena Regional Medical Center,Quorum Health Corporation
1861449639,Mena Regional Health System,
1033160049,St Marys Regional Medical Center (AKA Saint Marys Regional Health System),LifePoint Health (FKA LifePoint Hospitals)
1497790042,Baptist Health Medical Center - North Little Rock,Baptist Health (AR)
1477549756,University of Arkansas for Medical Sciences Medical Center (AKA UAMS),University of Arkansas for Medical Sciences Health (AKA UAMS Health)
1780684431,CHI St Vincent Infirmary,CHI St Vincent (FKA St Vincent Health System)
1861451114,North Metro Medical Center (Closed),Allegiance Health Management
1619926268,John L McClellan Memorial Veterans Hospital,VA South Central VA Health Care Network (VISN 16)
1043240682,Baptist Health Medical Center - Little Rock,Baptist Health (AR)
1942260609,Arkansas Surgical Hospital,Medical Facilities Corporation
1790775229,Arkansas Heart Hospital,Arkansas Heart Hospitals
1629011002,CHI St Vincent North,CHI St Vincent (FKA St Vincent Health System)
1194776757,Arkansas Childrens Hospital,Arkansas Childrens Hospital System
1528360989,St Bernards Five Rivers (FKA Five Rivers Medical Center),St Bernards Healthcare
1811912009,Forrest City Medical Center,Quorum Health Corporation
1235111071,Saline Memorial Hospital (AKA Saline Health System),LifePoint Health (FKA LifePoint Hospitals)
1912978875,Mercy Hospital Waldron (FKA Mercy Hospital Scott County),Mercy (MO)
1578555736,Baptist Health - Fort Smith (FKA Sparks Regional Medical Center),Baptist Health (AR)
1568433480,Mercy Hospital Fort Smith (FKA St Edward Mercy Medical Center),Mercy (MO)
1184612194,De Queen Medical Center (Closed),JCE Healthcare (Closed)
1417913419,Stone County Medical Center,White River Health System
1689625568,South Arkansas Regional Hospital (FKA Medical Center of South Arkansas),
1992760342,Ozark Health Medical Center,
1003867326,Fayetteville VA Medical Center,VA South Central VA Health Care Network (VISN 16)
1407215916,Northwest Health Physicians Specialty Hospital,Northwest Health System
1699726695,Northwest Medical Center - Springdale,Northwest Health System
1083609150,Washington Regional Medical Center,
1962727271,Unity Health - White County Medical Center,Unity Health
1902842255,John Ed Chambers Memorial Hospital,
1235344409,Dardanelle Regional Medical Center (FKA River Valley Medical Center),Conway Regional Health System
1942298153,St Rose Hospital,
1104267848,San Leandro Hospital,Alameda Health System (FKA Alameda County Medical Center)
1780614685,Washington Hospital,
1831529049,Alameda Hospital,Alameda Health System (FKA Alameda County Medical Center)
1144389941,Stanford Health Care - ValleyCare (AKA Stanford Health Care Tri-Valley),Stanford Health Care
1639523004,Alta Bates Summit Medical Center - Alta Bates Campus,Sutter Health
1427123132,Oakland Medical Center,Kaiser Permanente Northern California
1265680045,Laurel Grove Hospital (Closed),
1063812907,Eden Medical Center,Sutter Health
1508138439,Kaiser Permanente - Hayward Medical Center (Closed),Kaiser Permanente Northern California
1447494323,Sutter Amador Hospital,Sutter Health
1417901091,Enloe Medical Center,
1871606269,Oroville Hospital,
1518940667,Adventist Health Feather River (FKA Feather River Hospital - Closed),Adventist Health (AKA Adventist Health System/West)
1508968819,Mark Twain Medical Center,Dignity Health
1215475124,Colusa Medical Center (FKA Colusa Regional Medical Center),American Advanced Management Group (FKA American Specialty Healthcare)
1801821376,John Muir Health - Concord Medical Center,John Muir Health
1124135132,Sutter Delta Medical Center,Sutter Health
1932131489,San Ramon Regional Medical Center,Tenet Healthcare
1851417547,Antioch Medical Center,Kaiser Permanente Northern California
1386719086,Contra Costa Regional Medical Center,
1891733788,Doctors Medical Center - San Pablo (Closed),
1639244262,Walnut Creek Medical Center,Kaiser Permanente Northern California
1740215219,John Muir Health - Walnut Creek Medical Center,John Muir Health
1457367062,Sutter Coast Hospital,Sutter Health
1972503142,Marshall Medical Center,
1003867565,Barton Memorial Hospital (AKA Barton Health),
1336167550,Adventist Health Reedley,Adventist Health Central Valley Network
1104906569,Community Regional Medical Center,Community Medical Centers (AKA the Community Medical Centers Healthcare Network)
1205845567,Saint Agnes Medical Center,Trinity Health (FKA CHE Trinity Health)
1801452941,Coalinga Medical Center (AKA Coalinga Regional Medical Center),American Advanced Management Group (FKA American Specialty Healthcare)
1316027709,Clovis Community Medical Center,Community Medical Centers (AKA the Community Medical Centers Healthcare Network)
1205834694,Fresno Surgical Hospital,United Surgical Partners International (AKA USPI)
1083784672,Fresno Medical Center,Kaiser Permanente Northern California
,Fresno Heart & Surgical Hospital,Community Medical Centers (AKA the Community Medical Centers Healthcare Network)
1336222314,Kingsburg Medical Center (Closed 2010-01-01),
1619929759,Glenn Medical Center,American Advanced Management Group (FKA American Specialty Healthcare)
1003819376,Jerold Phelps Community Hospital,
1043292303,Providence Redwood Memorial Hospital,Providence Health & Services - Northern California (FKA St Joseph Health)
1518996040,Mad River Community Hospital,
1609858950,Providence St Joseph Hospital Eureka,Providence Health & Services - Northern California (FKA St Joseph Health)
1366492738,Martinsburg VA Medical Center,VA Capitol Health Care Network (VISN 5)
1861409823,El Centro Regional Medical Center,University of California San Diego Health System (AKA UC San Diego Health)
1073519443,Pioneers Memorial Hospital (AKA Pioneers Memorial Healthcare District),
1831128602,Southern Inyo Hospital (AKA Southern Inyo Healthcare District),
1922198712,Northern Inyo Hospital,
1427049964,Kern Valley Healthcare District,
1275538530,Adventist Health Tehachapi Valley (FKA Tehachapi Hospital),Adventist Health (AKA Adventist Health System/West)
1376623538,Kern Medical (FKA Kern Medical Center),
1104981661,Mercy Hospital Downtown - Bakersfield,Dignity Health
1205852209,Good Samaritan Hospital,
1144237272,Delano Regional Medical Center (AKA Adventist Health Delano),Adventist Health (AKA Adventist Health System/West)
1609856947,Bakersfield Heart Hospital,Surgery Partners (FKA Symbion Healthcare)
1447253125,Ridgecrest Regional Hospital,
1538157508,Adventist Health Bakersfield (FKA San Joaquin Community Hospital),Adventist Health (AKA Adventist Health System/West)
1467538520,Memorial Hospital - Bakersfield (FKA Bakersfield Memorial Hospital),Dignity Health
1255334595,Corcoran District Hospital (Closed),Adventist Health (AKA Adventist Health System/West)
1891777983,Central Valley General Hospital (Closed),
1538141627,Adventist Health Hanford,Adventist Health Central Valley Network
1124018031,Adventist Health Clear Lake (FKA St Helena Hospital - Clear Lake),Adventist Health (AKA Adventist Health System/West)
1952634008,Sutter Lakeside Hospital,Sutter Health
1538197231,Banner Lassen Medical Center,Banner Health
1346250347,Catalina Island Medical Center,
1124073366,Childrens Hospital Los Angeles,
1477596583,Miller Childrens & Womens Hospital Long Beach,MemorialCare Health System
1154715845,USC Verdugo Hills Hospital,Keck Medicine of USC (AKA USC Health)
1578529285,Valley Presbyterian Hospital,
1275720377,San Gabriel Valley Medical Center,AHMC Healthcare
1376698043,Panorama City Medical Center,Kaiser Permanente Southern California
1821143777,Los Angeles Medical Center,Kaiser Permanente Southern California
1518012301,Downey Medical Center,Kaiser Permanente Southern California
1194840421,St Mary Medical Center Long Beach,Dignity Health
1043215379,PIH Health Hospital - Whittier (FKA Presbyterian Intercommunity Hospital),PIH Health
1750358297,Helford Clinical Research Hospital (AKA City of Hope National Medical Center),City of Hope
1114081056,California Hospital Medical Center,Dignity Health
1023010113,Southern California Hospital at Hollywood (FKA Hollywood Community Hospital),Southern California Hospital
1437322377,Encino Hospital Medical Center,Prime Healthcare Services Foundation
1891059127,Community Hospital of Huntington Park,Pipeline Health LLC
1891187035,West Covina Medical Center (AKA Doctors Hospital of West Covina),
1215927470,Adventist Health White Memorial (FKA White Memorial Medical Center),Adventist Health (AKA Adventist Health System/West)
1487697215,St Francis Medical Center,Prime Healthcare Services
1639166200,Temple Community Hospital (Closed 2014-09-01),
1427055839,UCLA Health - Santa Monica Medical Center,UCLA Health System (AKA UCLA Health)
1417089350,Northridge Hospital Medical Center,Dignity Health
1922033547,CHA Hollywood Presbyterian Medical Center,
1477610640,Glendale Memorial Hospital,Dignity Health
1942247291,Providence Little Company of Mary Medical Center San Pedro,Providence Health & Services - Southern California (FKA Providence Health & Services - California)
1194016923,Coast Plaza Hospital,Pipeline Health LLC
1508856535,Palmdale Regional Medical Center,Southwest Healthcare System
1649307489,Glendora Hospital (FKA Glendora Oaks Behavioral Health Hospital),College Health Enterprises
1407813660,Pomona Valley Hospital Medical Center,
1336173269,Providence Saint Joseph Medical Center,Providence Health & Services - Southern California (FKA Providence Health & Services - California)
1508851288,USC Arcadia Hospital (FKA Methodist Hospital of Southern California),Keck Medicine of USC (AKA USC Health)
1831188275,Adventist Health Glendale (FKA Glendale Adventist Medical Center),Adventist Health (AKA Adventist Health System/West)
1215373626,College Medical Center (FKA Pacific Hospital of Long Beach),College Health Enterprises
1477587632,Providence Holy Cross Medical Center,Providence Health & Services - Southern California (FKA Providence Health & Services - California)
1124026273,Providence Saint Johns Health Center (FKA St Johns Health Center),Providence Health & Services - Southern California (FKA Providence Health & Services - California)
1679737464,Tibor Rubin VA Medical Center,VA Desert Pacific Healthcare Network (VISN 22)
1902803315,Ronald Reagan UCLA Medical Center,UCLA Health System (AKA UCLA Health)
1811099674,Alhambra Hospital Medical Center,AHMC Healthcare
1902844988,Providence Little Company of Mary Medical Center Torrance,Providence Health & Services - Southern California (FKA Providence Health & Services - California)
1184628919,Beverly Hospital,
1467459776,Torrance Memorial Medical Center,Cedars-Sinai Health System
1548328750,Pacifica Hospital of the Valley,
1982629440,Emanate Health Inter-Community Hospital (FKA Inter-Community Hospital),Emanate Health (FKA Citrus Valley Health Partners)
1265433551,PIH Health Hospital - Downey (FKA Downey Regional Medical Center and Downey Medical Group),PIH Health
1407828429,Huntington Hospital (AKA Huntington Health),Cedars-Sinai Health System
1336294040,South Bay Medical Center,Kaiser Permanente Southern California
1063412005,Memorial Hospital of Gardena,Pipeline Health LLC
1508859323,PIH Health Good Samaritan Hospital,PIH Health
1023065729,West Hills Hospital & Medical Center,HCA Far West Division
1962442012,Long Beach Medical Center (FKA Long Beach Memorial Medical Center),MemorialCare Health System
1124004304,St Vincent Medical Center (Closed 2019-01-01),
1114021250,Los Angeles Community Hospital at Bellflower (FKA Bellflower Medical Center),Alta Los Angeles Hospitals (AKA Alta Hospitals System)
1154372498,Lanterman Developmental Center (Closed 2014-05-01),
